filename,label
a0007.wav,normal
a0009.wav,normal
a0011.wav,normal
a0012.wav,normal
a0016.wav,normal
a0019.wav,normal
a0025.wav,normal
a0027.wav,normal
a0028.wav,normal
a0029.wav,normal
a0032.wav,normal
a0035.wav,normal
a0038.wav,normal
a0049.wav,normal
a0050.wav,normal
a0053.wav,normal
a0055.wav,normal
a0068.wav,normal
a0069.wav,normal
a0070.wav,normal
a0071.wav,normal
a0080.wav,normal
a0081.wav,normal
a0085.wav,normal
a0086.wav,normal
a0088.wav,normal
a0091.wav,normal
a0093.wav,normal
a0094.wav,normal
a0102.wav,normal
a0105.wav,normal
a0106.wav,normal
a0108.wav,normal
a0109.wav,normal
a0118.wav,normal
a0125.wav,normal
a0127.wav,normal
a0129.wav,normal
a0136.wav,normal
a0139.wav,normal
a0140.wav,normal
a0141.wav,normal
a0153.wav,normal
a0154.wav,normal
a0155.wav,normal
a0161.wav,normal
a0165.wav,normal
a0171.wav,normal
a0178.wav,normal
a0179.wav,normal
a0181.wav,normal
a0184.wav,normal
a0185.wav,normal
a0189.wav,normal
a0193.wav,normal
a0195.wav,normal
a0196.wav,normal
a0199.wav,normal
a0204.wav,normal
a0208.wav,normal
a0210.wav,normal
a0211.wav,normal
a0212.wav,normal
a0227.wav,normal
a0229.wav,normal
a0231.wav,normal
a0235.wav,normal
a0238.wav,normal
a0241.wav,normal
a0243.wav,normal
a0250.wav,normal
a0253.wav,normal
a0264.wav,normal
a0266.wav,normal
a0270.wav,normal
a0271.wav,normal
a0274.wav,normal
a0283.wav,normal
a0285.wav,normal
a0287.wav,normal
a0289.wav,normal
a0290.wav,normal
a0293.wav,normal
a0294.wav,normal
a0298.wav,normal
a0299.wav,normal
a0301.wav,normal
a0302.wav,normal
a0304.wav,normal
a0309.wav,normal
a0310.wav,normal
a0311.wav,normal
a0323.wav,normal
a0325.wav,normal
a0328.wav,normal
a0329.wav,normal
a0330.wav,normal
a0332.wav,normal
a0334.wav,normal
a0337.wav,normal
a0340.wav,normal
a0342.wav,normal
a0351.wav,normal
a0352.wav,normal
a0353.wav,normal
a0355.wav,normal
a0359.wav,normal
a0361.wav,normal
a0385.wav,normal
a0386.wav,normal
a0393.wav,normal
a0401.wav,normal
a0405.wav,normal
a0406.wav,normal
a0407.wav,normal
a0408.wav,normal
a0409.wav,normal
a0001.wav,abnormal
a0002.wav,abnormal
a0003.wav,abnormal
a0004.wav,abnormal
a0005.wav,abnormal
a0006.wav,abnormal
a0008.wav,abnormal
a0010.wav,abnormal
a0013.wav,abnormal
a0014.wav,abnormal
a0015.wav,abnormal
a0017.wav,abnormal
a0018.wav,abnormal
a0020.wav,abnormal
a0021.wav,abnormal
a0022.wav,abnormal
a0023.wav,abnormal
a0024.wav,abnormal
a0026.wav,abnormal
a0030.wav,abnormal
a0031.wav,abnormal
a0033.wav,abnormal
a0034.wav,abnormal
a0036.wav,abnormal
a0037.wav,abnormal
a0039.wav,abnormal
a0040.wav,abnormal
a0041.wav,abnormal
a0042.wav,abnormal
a0043.wav,abnormal
a0044.wav,abnormal
a0045.wav,abnormal
a0046.wav,abnormal
a0047.wav,abnormal
a0048.wav,abnormal
a0051.wav,abnormal
a0052.wav,abnormal
a0054.wav,abnormal
a0056.wav,abnormal
a0057.wav,abnormal
a0058.wav,abnormal
a0059.wav,abnormal
a0060.wav,abnormal
a0061.wav,abnormal
a0062.wav,abnormal
a0063.wav,abnormal
a0064.wav,abnormal
a0065.wav,abnormal
a0066.wav,abnormal
a0067.wav,abnormal
a0072.wav,abnormal
a0073.wav,abnormal
a0074.wav,abnormal
a0075.wav,abnormal
a0076.wav,abnormal
a0077.wav,abnormal
a0078.wav,abnormal
a0079.wav,abnormal
a0082.wav,abnormal
a0083.wav,abnormal
a0084.wav,abnormal
a0087.wav,abnormal
a0089.wav,abnormal
a0090.wav,abnormal
a0092.wav,abnormal
a0095.wav,abnormal
a0096.wav,abnormal
a0097.wav,abnormal
a0098.wav,abnormal
a0099.wav,abnormal
a0100.wav,abnormal
a0101.wav,abnormal
a0103.wav,abnormal
a0104.wav,abnormal
a0107.wav,abnormal
a0110.wav,abnormal
a0111.wav,abnormal
a0112.wav,abnormal
a0113.wav,abnormal
a0114.wav,abnormal
